country,survey_start_year,year,lat,lon,GID_1,GID_2,households,rural,iwi
angola,2015,2015,-10.818324999999994,14.419114,AGO.7,AGO.7.1,24,1,21.97216045833333
angola,2015,2015,-10.871485000000003,14.687334000000003,AGO.7,AGO.7.4,25,1,12.387364440000004
angola,2015,2015,-9.834118999999994,14.826708999999996,AGO.7,AGO.7.5,25,1,15.552534360000005
angola,2015,2015,-11.133521,14.920621,AGO.7,AGO.7.4,24,1,11.919466916666666
angola,2015,2015,-10.736612,13.758537999999993,AGO.7,AGO.7.7,25,0,69.19134292000001
angola,2015,2015,-10.403526,15.529565999999996,AGO.7,AGO.7.8,15,1,12.872714466666666
angola,2015,2015,-10.587051,14.519817999999992,AGO.7,AGO.7.9,24,1,5.773310791666666
angola,2015,2015,-10.765318000000004,15.312278999999997,AGO.7,AGO.7.8,25,1,3.1619828000000005
angola,2015,2015,-10.579056,13.933442000000008,AGO.7,AGO.7.7,26,1,13.459902884615389
angola,2015,2015,-10.859722,14.366461,AGO.7,AGO.7.1,25,0,76.67585452
angola,2015,2015,-11.019789,14.524774999999996,AGO.7,AGO.7.4,23,1,9.077027826086958
angola,2015,2015,-11.183774,13.874359000000004,AGO.7,AGO.7.11,22,0,29.25542763636364
angola,2015,2015,-11.210642000000004,13.860286999999998,AGO.7,AGO.7.11,22,0,23.832437454545456
angola,2015,2015,-11.239586,15.056221999999996,AGO.7,AGO.7.12,24,0,17.363764208333336
angola,2015,2015,-9.994564,14.893594000000004,AGO.7,AGO.7.5,18,0,30.61675616666666
angola,2015,2015,-10.849116000000002,14.380337999999998,AGO.7,AGO.7.1,19,0,50.80511663157895
angola,2015,2015,-10.976327,14.468968,AGO.7,AGO.7.1,23,1,10.86974639130435
angola,2015,2015,-11.052217000000006,14.519786000000003,AGO.7,AGO.7.4,20,1,8.4689844
angola,2015,2015,-10.899427,16.091439000000005,AGO.7,AGO.7.6,17,1,16.536895941176475
angola,2015,2015,-10.819499000000006,14.366779000000005,AGO.7,AGO.7.1,25,1,14.2509558
angola,2015,2015,-10.842192000000004,14.377598999999996,AGO.7,AGO.7.1,21,0,54.14321523809523
angola,2015,2015,-10.507192000000002,16.002526999999994,AGO.7,AGO.7.6,14,0,29.15145521428571
angola,2015,2015,-10.803945,14.528763000000009,AGO.7,AGO.7.1,23,1,16.465088434782608
angola,2015,2015,-16.180494000000007,15.785886000000003,AGO.8,AGO.8.4,25,1,12.31343596
angola,2015,2015,-16.75889799999999,15.877738000000004,AGO.8,AGO.8.2,26,1,14.224498038461538
angola,2015,2015,-16.709127000000006,15.839561000000002,AGO.8,AGO.8.2,23,1,14.60636304347826
angola,2015,2015,-15.678226999999994,15.788915999999992,AGO.8,AGO.8.4,23,0,31.75086026086956
angola,2015,2015,-16.309372999999997,14.387039,AGO.8,AGO.8.1,26,1,7.200198500000001
angola,2015,2015,-17.25423651,15.35987217,AGO.8,AGO.8.2,22,1,14.780055454545453
angola,2015,2015,-16.751129999999993,14.958213,AGO.8,AGO.8.6,25,0,27.51957280000001
angola,2015,2015,-17.090074000000012,15.715505000000006,AGO.8,AGO.8.2,22,0,63.30486981818183
angola,2015,2015,-17.050082999999997,15.756044999999997,AGO.8,AGO.8.2,19,0,50.94156715789472
angola,2015,2015,-17.066455000000005,15.723962000000007,AGO.8,AGO.8.2,22,0,35.02381263636364
angola,2015,2015,-17.075566000000002,15.735124000000004,AGO.8,AGO.8.2,13,0,68.6842186923077
angola,2015,2015,-17.067699,15.731934,AGO.8,AGO.8.2,18,0,61.20737272222222
angola,2015,2015,-17.193085999999997,15.590493999999998,AGO.8,AGO.8.2,24,1,14.274282458333332
angola,2015,2015,-12.748934,15.683733999999996,AGO.9,AGO.9.5,13,0,50.48974953846153
angola,2015,2015,-12.757554999999998,15.735794999999998,AGO.9,AGO.9.5,13,0,41.608396538461534
angola,2015,2015,-12.745171999999998,15.768382,AGO.9,AGO.9.5,11,0,38.297302090909085
angola,2015,2015,-13.256458,15.614284,AGO.9,AGO.9.2,13,0,20.44551261538462
angola,2015,2015,-12.100308000000004,15.252124000000004,AGO.9,AGO.9.6,16,1,15.0386373125
angola,2015,2015,-12.776091,15.750251999999996,AGO.9,AGO.9.5,16,0,51.41326599999999
angola,2015,2015,-12.789576000000004,15.735142999999995,AGO.9,AGO.9.5,20,0,71.40310505
angola,2015,2015,-12.764323999999998,15.716719000000005,AGO.9,AGO.9.5,14,0,61.68320271428571
angola,2015,2015,-12.468289,16.179789,AGO.9,AGO.9.3,6,1,10.498770333333336
angola,2015,2015,-12.181217000000002,15.860888999999997,AGO.9,AGO.9.1,11,0,59.21716545454546
angola,2015,2015,-13.268224999999996,16.286991,AGO.9,AGO.9.9,22,1,7.122877999999999
angola,2015,2015,-13.297514999999995,15.690327000000009,AGO.9,AGO.9.2,25,1,18.41997384
angola,2015,2015,-12.866829999999997,15.558227999999993,AGO.9,AGO.9.2,15,0,36.45161459999999
angola,2015,2015,-12.767678999999996,15.708661000000005,AGO.9,AGO.9.5,21,0,65.48560333333333
angola,2015,2015,-12.482378,15.691132,AGO.9,AGO.9.5,11,1,15.166688545454548
angola,2015,2015,-12.799667,15.751642999999998,AGO.9,AGO.9.5,17,0,65.52553517647058
angola,2015,2015,-12.695116999999998,15.564334,AGO.9,AGO.9.4,9,1,32.56876066666666
angola,2015,2015,-12.757252999999997,15.756708,AGO.9,AGO.9.5,19,0,75.77816115789474
angola,2015,2015,-13.49247,15.568243999999996,AGO.9,AGO.9.2,13,1,12.263382846153847
angola,2015,2015,-12.528704000000005,15.809659000000003,AGO.9,AGO.9.5,15,1,28.807640666666664
angola,2015,2015,-13.059614000000002,15.782794999999997,AGO.9,AGO.9.5,12,1,16.446997916666668
angola,2015,2015,-15.178039000000007,13.75617,AGO.10,AGO.10.3,26,1,14.798548961538462
angola,2015,2015,-14.949818999999994,13.473267000000002,AGO.10,AGO.10.7,26,0,46.782958615384615
angola,2015,2015,-14.908193999999996,13.493840999999996,AGO.10,AGO.10.10,25,0,68.90072520000001
angola,2015,2015,-14.328936,14.469404999999997,AGO.10,AGO.10.2,26,1,15.807711692307697
angola,2015,2015,-13.705201999999993,14.597441000000002,AGO.10,AGO.10.2,26,1,7.2586176153846145
angola,2015,2015,-13.550178999999998,16.014597000000002,AGO.10,AGO.10.5,11,1,28.56708318181818
angola,2015,2015,-14.746594,13.716287000000005,AGO.10,AGO.10.10,26,1,11.918128076923075
angola,2015,2015,-14.732892970000004,14.07507131,AGO.10,AGO.10.3,26,1,8.064772615384616
angola,2015,2015,-13.818763,14.672862000000004,AGO.10,AGO.10.2,14,0,45.65755228571429
angola,2015,2015,-14.884396,13.514675000000006,AGO.10,AGO.10.10,23,0,52.93477330434782
angola,2015,2015,-14.338804999999995,14.95561900000001,AGO.10,AGO.10.4,26,1,12.171405576923076
angola,2015,2015,-15.113606000000004,13.381176,AGO.10,AGO.10.7,26,1,15.353194384615383
angola,2015,2015,-14.939249999999994,13.555787000000002,AGO.10,AGO.10.10,18,0,54.3393935
angola,2015,2015,-14.182435,14.974022999999992,AGO.10,AGO.10.4,26,1,7.172016692307692
angola,2015,2015,-15.792961999999992,14.685475999999996,AGO.10,AGO.10.6,26,1,11.145645807692311
angola,2015,2015,-13.970784999999998,13.681502000000004,AGO.10,AGO.10.12,26,1,3.578975769230769
angola,2015,2015,-14.900837000000005,13.450357999999996,AGO.10,AGO.10.7,24,0,62.284062625
angola,2015,2015,-14.928041000000006,13.495625999999998,AGO.10,AGO.10.10,22,0,61.866227
angola,2015,2015,-14.914791999999998,13.500418000000002,AGO.10,AGO.10.10,22,0,69.64313945454548
